foo,bar,baz,high,low
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121109,53,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121110,55,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121111,64,50
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121112,66,48
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121113,62,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121114,47,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121115,45,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121116,46,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121117,51,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121118,49,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121119,47,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121120,51,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121121,53,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121122,54,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121123,56,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121124,50,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121125,40,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121126,48,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121127,42,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121128,41,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121129,43,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121130,46,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121201,41,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121202,52,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121203,60,49
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121204,62,47
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121205,58,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121206,40,29
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121207,46,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121208,50,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121209,50,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121210,59,44
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121211,58,41
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121212,43,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121213,46,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121214,48,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121215,47,38
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121216,47,42
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121217,43,40
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121218,54,43
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121219,47,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121220,47,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121221,56,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121222,38,36
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121223,42,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121224,40,33
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121225,41,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121226,39,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121227,39,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121228,37,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121229,34,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121230,34,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20121231,38,28
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130101,40,26
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130102,33,22
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130103,32,24
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130104,37,30
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130105,42,32
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130106,46,34
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130107,45,37
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130108,48,35
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130109,49,39
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130110,47,40
